Northern Elephant Seal,2014,1,2014012,133774,0,2014-02-17T14:52:30Z,44.735,42.356,"A
",-264.388,8.612
Northern Elephant Seal,2014,1,2014012,133774,0,2014-02-17T19:05:09Z,44.588,42.418,"B
",-264.388,8.612
Northern Elephant Seal,2014,1,2014012,133774,0,2014-02-18T11:59:31Z,44.072,42.67,"B
",-264.745,8.255
Northern Elephant Seal,2014,1,2014012,133774,0,2014-02-18T15:22:01Z,43.868,42.755,"A
",-260.572,12.428
Northern Elephant Seal,2014,1,2014012,133774,0,2014-02-19T00:57:39Z,43.327,42.875,"A
",-260.306,12.694
Northern Elephant Seal,2014,1,2014012,133774,0,2014-02-19T14:56:43Z,43.176,43.111,"A
",-259.487,13.513
Northern Elephant Seal,2014,1,2014012,133774,0,2014-02-19T17:49:13Z,43.028,43.222,"A
",-259.487,13.513
Northern Elephant Seal,2014,1,2014012,133774,0,2014-02-19T20:18:45Z,42.936,43.266,"0
",-259.487,13.513
Northern Elephant Seal,2014,1,2014012,133774,0,2014-02-20T05:14:03Z,42.713,43.427,"A
",-259.332,13.668
Northern Elephant Seal,2014,1,2014012,133774,0,2014-02-20T13:23:26Z,42.57,43.716,"A
",-259.18,13.82
Northern Elephant Seal,2014,1,2014012,133774,0,2014-02-20T18:27:11Z,42.261,43.705,"0
",-259.18,13.82
Northern Elephant Seal,2014,1,2014012,133774,0,2014-02-21T03:30:00Z,42.124,43.888,"0
",-259.114,13.886
Northern Elephant Seal,2014,1,2014012,133774,0,2014-02-21T17:07:01Z,41.678,44.182,"B
",-259.114,13.886
Northern Elephant Seal,2014,1,2014012,133774,0,2014-02-21T18:04:41Z,41.604,44.216,"B
",-259.114,13.886
Northern Elephant Seal,2014,1,2014012,133774,0,2014-02-21T19:39:50Z,41.652,44.231,"A
",-259.114,13.886
Northern Elephant Seal,2014,1,2014012,133774,0,2014-02-21T21:33:16Z,41.518,44.268,"B
",-259.14,13.86
Northern Elephant Seal,2014,1,2014012,133774,0,2014-02-21T22:53:54Z,41.473,44.303,"A
",-259.14,13.86
Northern Elephant Seal,2014,1,2014012,133774,0,2014-02-21T23:48:45Z,41.487,44.355,"B
",-259.14,13.86
Northern Elephant Seal,2014,1,2014012,133774,0,2014-02-22T02:11:43Z,41.249,44.315,"A
",-259.14,13.86
Northern Elephant Seal,2014,1,2014012,133774,0,2014-02-22T05:26:43Z,41.265,44.424,"B
",-259.14,13.86
Northern Elephant Seal,2014,1,2014012,133774,0,2014-02-22T07:22:30Z,41.173,44.449,"A
",-259.14,13.86
Northern Elephant Seal,2014,1,2014012,133774,0,2014-02-22T14:31:52Z,40.887,44.529,"A
",-259.14,13.86
Northern Elephant Seal,2014,1,2014012,133774,0,2014-02-22T15:18:45Z,40.874,44.537,"A
",-259.14,13.86
Northern Elephant Seal,2014,1,2014012,133774,0,2014-02-22T19:21:33Z,40.618,44.59,"0
",-259.14,13.86
Northern Elephant Seal,2014,1,2014012,133774,0,2014-02-22T21:19:13Z,40.615,44.618,"B
",-259.561,13.439
Northern Elephant Seal,2014,1,2014012,133774,0,2014-02-23T00:15:28Z,40.48,44.592,"0
",-259.561,13.439
Northern Elephant Seal,2014,1,2014012,133774,0,2014-02-23T03:44:03Z,40.356,44.662,"A
",-259.561,13.439
Northern Elephant Seal,2014,1,2014012,133774,0,2014-02-23T16:37:58Z,39.911,44.797,"A
",-275,-2
Northern Elephant Seal,2014,1,2014012,133774,0,2014-02-23T21:05:37Z,39.708,44.959,"B
",-275,-2
Northern Elephant Seal,2014,1,2014012,133774,0,2014-02-24T04:00:28Z,39.51,44.905,"B
",-275,-2
Northern Elephant Seal,2014,1,2014012,133774,0,2014-02-24T05:31:52Z,39.438,44.906,"1
",-275,-2
Northern Elephant Seal,2014,1,2014012,133774,0,2014-02-24T07:07:01Z,39.607,44.973,"A
",-275,-2
Northern Elephant Seal,2014,1,2014012,133774,0,2014-02-24T10:50:09Z,39.255,44.865,"A
",-275,-2
Northern Elephant Seal,2014,1,2014012,133774,0,2014-02-24T14:06:05Z,39.141,44.85,"1
",-275,-2
Northern Elephant Seal,2014,1,2014012,133774,0,2014-02-24T20:59:03Z,38.835,44.841,"A
",-275,-2
Northern Elephant Seal,2014,1,2014012,133774,0,2014-02-24T22:18:45Z,38.84,44.765,"A
",-275,-2
Northern Elephant Seal,2014,1,2014012,133774,0,2014-02-25T02:46:24Z,38.804,44.742,"0
",-275,-2
Northern Elephant Seal,2014,1,2014012,133774,0,2014-02-25T05:03:45Z,38.624,44.781,"B
",-255.524,17.476
Northern Elephant Seal,2014,1,2014012,133774,0,2014-02-25T12:17:20Z,38.451,44.758,"0
",-255.223,17.777
Northern Elephant Seal,2014,1,2014012,133774,0,2014-02-25T15:45:00Z,38.26,44.834,"A
",-255.227,17.773
Northern Elephant Seal,2014,1,2014012,133774,0,2014-02-25T17:26:43Z,38.153,44.846,"B
",-255.416,17.584
Northern Elephant Seal,2014,1,2014012,133774,0,2014-02-25T22:11:15Z,37.973,44.883,"B
",-255.125,17.875
Northern Elephant Seal,2014,1,2014012,133774,0,2014-02-25T23:43:35Z,37.995,44.938,"B
",-255.144,17.856
