Northern Elephant Seal,2011,1,2011007,101168,0,2013-04-17T19:04:13Z,56.225,37.113,A,8.524000000000001,,,"
"
Northern Elephant Seal,2011,1,2011007,101168,0,2013-04-17T21:49:41Z,56.272,37.061,B,9.503,,,"
"
Northern Elephant Seal,2011,1,2011007,101168,0,2013-04-17T23:26:43Z,56.245,36.982,A,9.503,,,"
"
Northern Elephant Seal,2011,1,2011007,101168,0,2013-04-18T05:04:13Z,56.44101,36.949,B,9.503,,,"
"
Northern Elephant Seal,2011,1,2011007,101168,0,2013-04-18T06:27:39Z,56.49701,36.926,B,9.503,,,"
"
Northern Elephant Seal,2011,1,2011007,101168,0,2013-04-18T19:03:16Z,57.001,36.776,A,10.927999999999999,,,"
"
Northern Elephant Seal,2011,1,2011007,101168,0,2013-04-18T21:38:26Z,56.905,36.742,A,11.299999999999999,,,"
"
Northern Elephant Seal,2011,1,2011007,101168,0,2013-04-18T23:01:24Z,57.056,36.74,B,12.144,,,"
"
Northern Elephant Seal,2011,1,2011007,101168,0,2013-04-19T06:07:30Z,57.27301,36.666,B,12.751999999999999,,,"
"
Northern Elephant Seal,2011,1,2011007,101168,0,2013-04-19T11:40:18Z,57.274,36.783,A,12.751999999999999,,,"
"
Northern Elephant Seal,2011,1,2011007,101168,0,2013-04-19T13:19:13Z,57.353,36.739,B,12.933,,,"
"
Northern Elephant Seal,2011,1,2011007,101168,0,2013-04-20T00:20:09Z,57.651,36.876,A,14.416,,,"
"
Northern Elephant Seal,2011,1,2011007,101168,0,2013-04-20T05:45:56Z,57.69699,37.091,A,14.575,,,"
"
Northern Elephant Seal,2011,1,2011007,101168,0,2013-04-20T11:31:24Z,57.685,37.105,1,14.543,,,"
"
Northern Elephant Seal,2011,1,2011007,101168,0,2013-04-20T13:04:13Z,57.52301,37.069,B,14.019,,,"
"
Northern Elephant Seal,2011,1,2011007,101168,0,2013-04-20T17:00:28Z,57.66501,37.113,2,14.479,,,"
"
Northern Elephant Seal,2014,1,2014006,101168,0,2014-02-11T13:12:11Z,57.687,37.097,B,3.5779999999999994,,,"
"
Northern Elephant Seal,2014,1,2014006,101168,0,2014-02-11T14:39:50Z,57.595,37.055,A,3.585000000000001,,,"
"
Northern Elephant Seal,2014,1,2014006,101168,0,2014-02-11T16:58:35Z,57.53,36.961,B,3.591000000000001,,,"
"
Northern Elephant Seal,2014,1,2014006,101168,0,2014-02-11T17:12:11Z,57.522,36.956,B,3.5919999999999987,,,"
"
Northern Elephant Seal,2014,1,2014006,101168,0,2014-02-11T22:55:18Z,57.297,36.836,A,3.2270000000000003,,,"
"
Northern Elephant Seal,2014,1,2014006,101168,0,2014-02-12T02:07:30Z,57.10901,36.755,B,3.253999999999998,,,"
"
